NMFS_DNA_ID,PoolName,LibraryName,Sequencer,STATE_M,COLLECTION_DATE,CRUISE,HAUL,LATITUDE_M,LONGITUDE_M,depth
SQ000001,squid_1,SQ1,NovaSeq6000,NA,NA,NA,NA,NA,NA,6.89545
SQ000004,squid_1,SQ2,NovaSeq6000,NA,NA,NA,NA,NA,NA,6.51541
SQ000005,squid_1,SQ5,NovaSeq6000,California,NA,2207RL,67,33.24,-118.9,4.52132
SQ000006,squid_1,SQ6,NovaSeq6000,California,NA,2207RL,67,33.24,-118.9,4.61265
SQ000009,squid_1,SQ3,NovaSeq6000,California,NA,2207RL,67,33.24,-118.9,8.20102
SQ000010,squid_1,SQ4,NovaSeq6000,California,NA,2207RL,36,33.26,-118.83,8.05104
SQ000011,squid_1,SQ7,NovaSeq6000,California,NA,2207RL,36,33.26,-118.83,4.50047
SQ000012,squid_1,SQ8,NovaSeq6000,California,NA,2207RL,36,33.26,-118.83,3.59474
SQ000013,squid_1,SQ13,NovaSeq6000,California,NA,2207RL,49,34.5,-120.67,6.99044
SQ000014,squid_1,SQ14,NovaSeq6000,California,NA,2207RL,49,34.5,-120.67,7.76893
SQ000015,squid_1,SQ15,NovaSeq6000,California,NA,2207RL,49,34.5,-120.67,6.91422
SQ000016,squid_1,SQ16,NovaSeq6000,California,NA,2207RL,49,34.5,-120.67,6.81508
SQ000017,squid_1,SQ17,NovaSeq6000,California,NA,2207RL,49,34.5,-120.67,5.84985
SQ000018,squid_1,SQ18,NovaSeq6000,California,NA,2207RL,55,34.35,-120.12,7.13861
SQ000039,squid_1,SQ10,NovaSeq6000,California,NA,2207RL,73,32.96,-118.75,7.06949
SQ000040,squid_1,SQ11,NovaSeq6000,California,NA,2207RL,73,32.96,-118.75,6.37546
SQ000041,squid_1,SQ12,NovaSeq6000,California,NA,2207RL,73,32.96,-118.75,8.44385
SQ000042,squid_1,SQ9,NovaSeq6000,California,NA,2207RL,73,32.96,-118.75,5.3255
SQ000019,squid_2,SQ19,NovaSeq6000,California,NA,2207RL,55,34.35,-120.12,7.81319
SQ000020,squid_2,SQ20,NovaSeq6000,California,NA,2207RL,55,34.35,-120.12,7.46496
SQ000021,squid_2,SQ21,NovaSeq6000,California,NA,2207RL,55,34.35,-120.12,8.51909
SQ000022,squid_2,SQ22,NovaSeq6000,California,NA,2207RL,52,34.34,-119.72,8.66039
SQ000023,squid_2,SQ23,NovaSeq6000,California,NA,2207RL,52,34.34,-119.72,7.84857
SQ000024,squid_2,SQ24,NovaSeq6000,California,NA,2207RL,52,34.34,-119.72,9.32428
SQ000025,squid_2,SQ25,NovaSeq6000,California,NA,2207RL,52,34.34,-119.72,8.07692
SQ000026,squid_2,SQ26,NovaSeq6000,California,9/12/22,2207RL,40,36.56,-122.01,5.14261
SQ000028,squid_2,SQ28,NovaSeq6000,California,9/12/22,2207RL,40,36.56,-122.01,4.90271
SQ000030,squid_2,SQ29,NovaSeq6000,California,NA,2207RL,39,33.3,-117.57,5.9125
SQ000031,squid_2,SQ30,NovaSeq6000,California,NA,2207RL,39,33.3,-117.57,5.53425
SQ000032,squid_2,SQ31,NovaSeq6000,California,NA,2207RL,39,33.3,-117.57,6.61783
SQ000034,squid_2,SQ34,NovaSeq6000,California,8/1/22,2207RL,22,37.55,-122.87,5.46921
SQ000035,squid_2,SQ35,NovaSeq6000,California,8/1/22,2207RL,22,37.55,-122.87,5.02221
SQ000036,squid_2,SQ36,NovaSeq6000,California,8/1/22,2207RL,22,37.55,-122.87,4.35649
SQ000037,squid_2,SQ37,NovaSeq6000,California,8/1/22,2207RL,22,37.55,-122.87,4.82995
SQ000043,squid_2,SQ32,NovaSeq6000,Alaska,3/15/17,NA,NA,NA,NA,5.32606
SQ000044,squid_2,SQ33,NovaSeq6000,Alaska,3/15/17,NA,NA,NA,NA,5.15222
SQ000045,squid_3,SQ42,NovaSeq6000,Alaska,3/15/17,NA,NA,NA,NA,5.52174
SQ000051,squid_3,SQ38,NovaSeq6000,California,NA,2207RL,61,33.39,-120.61,5.12259
SQ000052,squid_3,SQ39,NovaSeq6000,California,NA,2207RL,61,33.39,-120.61,5.05421
SQ000053,squid_3,SQ40,NovaSeq6000,California,NA,2207RL,61,33.39,-120.61,5.04952
SQ000054,squid_3,SQ41,NovaSeq6000,California,NA,2207RL,61,33.39,-120.61,5.69463
SQ000055,squid_3,SQ43,NovaSeq6000,California,NA,2207RL,24,37.02,-122.66,5.80455
SQ000056,squid_3,SQ44,NovaSeq6000,California,NA,2207RL,24,37.02,-122.66,5.66813
SQ000057,squid_3,SQ45,NovaSeq6000,California,NA,2207RL,24,37.02,-122.66,6.43427
SQ000058,squid_3,SQ46,NovaSeq6000,California,NA,2207RL,24,37.02,-122.66,6.22057
SQ000059,squid_3,SQ47,NovaSeq6000,California,NA,2207RL,26,36.93,-122.52,5.93573
SQ000060,squid_3,SQ48,NovaSeq6000,California,NA,2207RL,26,36.93,-122.52,6.49401
SQ000061,squid_3,SQ49,NovaSeq6000,California,NA,2207RL,26,36.93,-122.52,5.73746
SQ000063,squid_3,SQ50,NovaSeq6000,California,NA,2207RL,18,37.97,-123.15,6.68563
SQ000064,squid_3,SQ51,NovaSeq6000,California,NA,2207RL,18,37.97,-123.15,6.10651
SQ000065,squid_3,SQ52,NovaSeq6000,California,NA,2207RL,18,37.97,-123.15,7.98704
SQ000066,squid_3,SQ53,NovaSeq6000,California,NA,2207RL,18,37.97,-123.15,6.11008
SQ000067,squid_3,SQ54,NovaSeq6000,California,NA,2103RL,5,33.1,-117.92,5.4657
SQ000068,squid_3,SQ55,NovaSeq6000,California,NA,2103RL,5,33.1,-117.92,7.36787
SQ000048,squid_4,SQ75,NovaSeq6000,Alaska,5/7/17,NA,NA,NA,NA,5.57169
SQ000069,squid_4,SQ56,NovaSeq6000,California,NA,2103RL,5,33.1,-117.92,7.09089
SQ000070,squid_4,SQ57,NovaSeq6000,California,NA,2103RL,5,33.1,-117.92,6.043
SQ000071,squid_4,SQ58,NovaSeq6000,Oregon,NA,2107RL,15,45.34,-124.18,6.41071
SQ000072,squid_4,SQ59,NovaSeq6000,Oregon,NA,2107RL,15,45.34,-124.18,5.97901
SQ000073,squid_4,SQ60,NovaSeq6000,Oregon,NA,2107RL,15,45.34,-124.18,6.61711
SQ000075,squid_4,SQ61,NovaSeq6000,Oregon,NA,2107RL,19,43.51,-124.55,6.52453
SQ000076,squid_4,SQ62,NovaSeq6000,Oregon,NA,2107RL,19,43.51,-124.55,6.80357
SQ000077,squid_4,SQ63,NovaSeq6000,Oregon,NA,2107RL,19,43.51,-124.55,6.83002
SQ000079,squid_4,SQ64,NovaSeq6000,California,3/22/21,2104RL,5,33.92,-123.37,6.08969
SQ000080,squid_4,SQ65,NovaSeq6000,California,3/22/21,2104RL,5,33.92,-123.37,6.60143
SQ000082,squid_4,SQ66,NovaSeq6000,California,3/22/21,2104RL,5,33.92,-123.37,6.65048
SQ000083,squid_4,SQ67,NovaSeq6000,Oregon,NA,2107RL,13,45.5,-124.18,8.04528
SQ000084,squid_4,SQ68,NovaSeq6000,California,3/30/21,2103RL,26,34.21,-119.47,7.29129
SQ000085,squid_4,SQ69,NovaSeq6000,California,3/30/21,2103RL,26,34.21,-119.47,7.12397
SQ000086,squid_4,SQ70,NovaSeq6000,California,3/30/21,2103RL,26,34.21,-119.47,6.62103
SQ000087,squid_4,SQ71,NovaSeq6000,California,3/30/21,2103RL,26,34.21,-119.47,7.50004
SQ000088,squid_4,SQ72,NovaSeq6000,California,NA,2207RL,25,37.11,-122.54,5.09144
SQ000002,squid_5,SQ81,NovaSeq6000,NA,NA,NA,NA,NA,NA,6.44883
SQ000003,squid_5,SQ82,NovaSeq6000,NA,NA,NA,NA,NA,NA,6.77426
SQ000007,squid_5,SQ83,NovaSeq6000,California,NA,2207RL,67,33.24,-118.9,8.16748
SQ000008,squid_5,SQ84,NovaSeq6000,California,NA,2207RL,67,33.24,-118.9,8.30537
SQ000033,squid_5,SQ85,NovaSeq6000,California,NA,2207RL,39,33.3,-117.57,8.5106
SQ000038,squid_5,SQ86,NovaSeq6000,California,NA,2207RL,73,32.96,-118.75,7.67436
SQ000046,squid_5,SQ87,NovaSeq6000,Alaska,3/15/17,NA,NA,NA,NA,8.12591
SQ000049,squid_5,SQ76,NovaSeq6000,Alaska,5/7/17,NA,NA,NA,NA,3.64416
SQ000050,squid_5,SQ88,NovaSeq6000,Alaska,5/7/17,NA,NA,NA,NA,7.22985
SQ000062,squid_5,SQ89,NovaSeq6000,California,NA,2207RL,26,36.93,-122.52,7.60416
SQ000074,squid_5,SQ90,NovaSeq6000,Oregon,NA,2107RL,15,45.34,-124.18,6.69129
SQ000078,squid_5,SQ91,NovaSeq6000,Oregon,NA,2107RL,19,43.51,-124.55,6.44495
SQ000089,squid_5,SQ77,NovaSeq6000,California,NA,2207RL,25,37.11,-122.54,2.91369
SQ000090,squid_5,SQ78,NovaSeq6000,California,NA,2207RL,25,37.11,-122.54,3.27423
SQ000091,squid_5,SQ92,NovaSeq6000,California,NA,2207RL,25,37.11,-122.54,8.21409
SQ000092,squid_5,SQ79,NovaSeq6000,California,NA,2207RL,17,38.35,-123.25,3.90928
SQ000093,squid_5,SQ80,NovaSeq6000,California,NA,2207RL,17,38.35,-123.25,3.17759
SQ000094,squid_5,SQ93,NovaSeq6000,California,7/31/22,2207RL,19,37.58,-123.18,8.00221
SQ000081,squid_6,SQ105,NovaSeq6000,California,3/22/21,2104RL,5,33.92,-123.37,6.0142
SQ000097,squid_6,SQ96,NovaSeq6000,NA,NA,2207RL,46,NA,NA,5.30508
SQ000098,squid_6,SQ97,NovaSeq6000,NA,NA,2207RL,46,NA,NA,8.55567
SQ000099,squid_6,SQ98,NovaSeq6000,NA,NA,2207RL,46,NA,NA,5.36051
SQ000100,squid_6,SQ106,NovaSeq6000,Alaska,1/1/19,NA,NA,NA,NA,5.75948
SQ000102,squid_6,SQ171,NovaSeq6000,Alaska,1/1/19,NA,NA,NA,NA,7.12329
SQ000104,squid_6,SQ99,NovaSeq6000,NA,NA,2207RL,3,NA,NA,7.66161
SQ000105,squid_6,SQ100,NovaSeq6000,California,NA,2207RL,6,39.82,-124.5,7.2123100000000004
SQ000106,squid_6,SQ101,NovaSeq6000,NA,8/2/22,2207RL,23,NA,NA,8.75709
SQ000107,squid_6,SQ102,NovaSeq6000,NA,8/2/22,2207RL,23,NA,NA,8.4279
SQ000108,squid_6,SQ103,NovaSeq6000,NA,NA,2207RL,46,NA,NA,7.59511
SQ000109,squid_6,SQ104,NovaSeq6000,NA,NA,2207RL,46,NA,NA,7.83662
SQ000110,squid_6,SQ107,NovaSeq6000,NA,NA,2207RL,46,NA,NA,6.90694
SQ000111,squid_6,SQ108,NovaSeq6000,NA,NA,2207RL,46,NA,NA,7.02289
SQ000112,squid_6,SQ109,NovaSeq6000,NA,NA,2207RL,46,NA,NA,6.2077
SQ000113,squid_6,SQ110,NovaSeq6000,NA,NA,2207RL,46,NA,NA,6.80246
SQ000125,squid_6,SQ172,NovaSeq6000,Alaska,1/1/19,NA,NA,NA,NA,6.52733
SQ000175,squid_6,SQ173,NovaSeq6000,Alaska,5/7/17,NA,NA,NA,NA,8.33525
SQ000095,squid_7,SQ94,NovaSeqX25B,California,7/31/22,2207RL,19,37.58,-123.18,3.32869
SQ000096,squid_7,SQ95,NovaSeqX25B,NA,NA,2207RL,46,NA,NA,2.59139
SQ000101,squid_7,SQ195,NovaSeqX25B,Alaska,1/1/19,NA,NA,NA,NA,0.447928
SQ000103,squid_7,SQ196,NovaSeqX25B,Alaska,1/1/19,NA,NA,NA,NA,2.19464
SQ000114,squid_7,SQ111,NovaSeqX25B,NA,NA,2207RL,46,NA,NA,2.13519
SQ000115,squid_7,SQ112,NovaSeqX25B,NA,NA,2207RL,46,NA,NA,2.09253
SQ000116,squid_7,SQ113,NovaSeqX25B,Oregon,NA,2107RL,19,43.51,-124.55,2.32682
SQ000117,squid_7,SQ114,NovaSeqX25B,Oregon,NA,2107RL,19,43.51,-124.55,2.36061
SQ000118,squid_7,SQ115,NovaSeqX25B,Oregon,NA,2107RL,19,43.51,-124.55,2.67788
SQ000119,squid_7,SQ116,NovaSeqX25B,Oregon,NA,2107RL,19,43.51,-124.55,2.75076
SQ000120,squid_7,SQ117,NovaSeqX25B,NA,8/2/22,2207RL,23,NA,NA,2.029
SQ000121,squid_7,SQ118,NovaSeqX25B,NA,8/2/22,2207RL,23,NA,NA,2.1495
SQ000122,squid_7,SQ119,NovaSeqX25B,NA,8/2/22,2207RL,23,NA,NA,2.83366
SQ000123,squid_7,SQ120,NovaSeqX25B,NA,8/2/22,2207RL,23,NA,NA,2.68763
SQ000124,squid_7,SQ121,NovaSeqX25B,NA,8/2/22,2207RL,23,NA,NA,2.59538
SQ000126,squid_7,SQ122,NovaSeqX25B,California,NA,2207RL,24,37.02,-122.66,2.64702
SQ000127,squid_7,SQ123,NovaSeqX25B,California,NA,2207RL,24,37.02,-122.66,3.09557
SQ000128,squid_7,SQ124,NovaSeqX25B,California,NA,2207RL,24,37.02,-122.66,2.34621
SQ000129,squid_7,SQ125,NovaSeqX25B,California,NA,2207RL,24,37.02,-122.66,2.6253
SQ000130,squid_7,SQ126,NovaSeqX25B,California,NA,2207RL,24,37.02,-122.66,2.76269
SQ000131,squid_7,SQ127,NovaSeqX25B,California,NA,2207RL,24,37.02,-122.66,2.99689
SQ000132,squid_7,SQ128,NovaSeqX25B,California,NA,2207RL,24,37.02,-122.66,2.54641
SQ000133,squid_7,SQ129,NovaSeqX25B,California,NA,2207RL,24,37.02,-122.66,2.74606
SQ000134,squid_7,SQ130,NovaSeqX25B,California,8/1/22,2207RL,22,37.55,-122.87,2.46887
SQ000135,squid_7,SQ131,NovaSeqX25B,California,8/1/22,2207RL,22,37.55,-122.87,2.99728
SQ000136,squid_7,SQ132,NovaSeqX25B,California,8/1/22,2207RL,22,37.55,-122.87,2.97298
SQ000137,squid_7,SQ133,NovaSeqX25B,California,8/1/22,2207RL,22,37.55,-122.87,3.344
SQ000138,squid_7,SQ134,NovaSeqX25B,California,8/1/22,2207RL,22,37.55,-122.87,3.37054
SQ000139,squid_7,SQ135,NovaSeqX25B,California,8/1/22,2207RL,22,37.55,-122.87,2.77055
SQ000140,squid_7,SQ136,NovaSeqX25B,California,8/1/22,2207RL,22,37.55,-122.87,2.33241
SQ000141,squid_7,SQ137,NovaSeqX25B,California,8/1/22,2207RL,22,37.55,-122.87,2.93412
SQ000142,squid_7,SQ138,NovaSeqX25B,California,NA,2207RL,39,33.3,-117.57,2.73803
SQ000143,squid_7,SQ139,NovaSeqX25B,California,NA,2207RL,39,33.3,-117.57,3.94852
SQ000144,squid_7,SQ140,NovaSeqX25B,California,NA,2207RL,39,33.3,-117.57,2.60579
SQ000145,squid_7,SQ141,NovaSeqX25B,California,NA,2207RL,39,33.3,-117.57,3.12556
SQ000146,squid_7,SQ142,NovaSeqX25B,California,NA,2207RL,39,33.3,-117.57,3.29496
SQ000147,squid_7,SQ143,NovaSeqX25B,California,NA,2207RL,39,33.3,-117.57,2.67863
SQ000148,squid_7,SQ144,NovaSeqX25B,California,NA,2207RL,39,33.3,-117.57,2.81513
SQ000149,squid_7,SQ145,NovaSeqX25B,California,NA,2207RL,39,33.3,-117.57,3.0887
SQ000150,squid_7,SQ146,NovaSeqX25B,California,NA,2207RL,25,37.11,-122.54,2.35512
SQ000151,squid_7,SQ147,NovaSeqX25B,California,NA,2207RL,25,37.11,-122.54,3.0765
SQ000152,squid_7,SQ148,NovaSeqX25B,California,NA,2207RL,25,37.11,-122.54,2.43942
SQ000153,squid_7,SQ149,NovaSeqX25B,California,NA,2207RL,25,37.11,-122.54,2.76015
SQ000154,squid_7,SQ150,NovaSeqX25B,California,NA,2207RL,25,37.11,-122.54,2.97853
SQ000155,squid_7,SQ151,NovaSeqX25B,California,NA,2207RL,25,37.11,-122.54,2.91629
SQ000156,squid_7,SQ152,NovaSeqX25B,California,NA,2207RL,25,37.11,-122.54,2.05911
SQ000157,squid_7,SQ153,NovaSeqX25B,California,NA,2207RL,25,37.11,-122.54,2.39799
SQ000158,squid_7,SQ154,NovaSeqX25B,California,NA,2103RL,5,33.1,-117.92,2.74126
SQ000159,squid_7,SQ155,NovaSeqX25B,California,NA,2103RL,5,33.1,-117.92,2.56379
SQ000160,squid_7,SQ156,NovaSeqX25B,California,NA,2103RL,5,33.1,-117.92,2.56729
SQ000161,squid_7,SQ157,NovaSeqX25B,California,NA,2103RL,5,33.1,-117.92,2.50888
SQ000162,squid_7,SQ158,NovaSeqX25B,California,NA,2103RL,5,33.1,-117.92,2.5733
SQ000163,squid_7,SQ159,NovaSeqX25B,California,NA,2103RL,5,33.1,-117.92,2.26199
SQ000164,squid_7,SQ160,NovaSeqX25B,California,NA,2103RL,5,33.1,-117.92,2.58466
SQ000165,squid_7,SQ161,NovaSeqX25B,California,NA,2103RL,5,33.1,-117.92,2.58977
SQ000166,squid_7,SQ162,NovaSeqX25B,California,NA,2207RL,61,33.39,-120.61,2.23875
SQ000167,squid_7,SQ163,NovaSeqX25B,California,NA,2207RL,61,33.39,-120.61,2.47323
SQ000168,squid_7,SQ164,NovaSeqX25B,California,NA,2207RL,61,33.39,-120.61,2.71961
SQ000169,squid_7,SQ165,NovaSeqX25B,California,NA,2207RL,61,33.39,-120.61,2.33809
SQ000170,squid_7,SQ166,NovaSeqX25B,California,NA,2207RL,61,33.39,-120.61,2.90163
SQ000171,squid_7,SQ167,NovaSeqX25B,California,NA,2207RL,61,33.39,-120.61,2.50738
SQ000172,squid_7,SQ168,NovaSeqX25B,California,NA,2207RL,61,33.39,-120.61,2.66828
SQ000173,squid_7,SQ169,NovaSeqX25B,California,NA,2207RL,61,33.39,-120.61,2.0005
SQ000176,squid_7,SQ262,NovaSeqX25B,Alaska,5/7/17,NA,NA,NA,NA,3.38797
SQ000177,squid_8,SQ175,NovaSeqX25B,Oregon,NA,2107RL,15,45.34,-124.18,3.03102
SQ000178,squid_8,SQ176,NovaSeqX25B,Oregon,NA,2107RL,15,45.34,-124.18,3.05561
SQ000179,squid_8,SQ177,NovaSeqX25B,Oregon,NA,2107RL,15,45.34,-124.18,2.67197
SQ000180,squid_8,SQ178,NovaSeqX25B,Oregon,NA,2107RL,15,45.34,-124.18,2.72812
SQ000181,squid_8,SQ216,NovaSeqX25B,Oregon,NA,2107RL,15,45.34,-124.18,2.50701
SQ000182,squid_8,SQ217,NovaSeqX25B,Oregon,NA,2107RL,15,45.34,-124.18,2.22046
SQ000184,squid_8,SQ225,NovaSeqX25B,California,NA,2207RL,17,38.35,-123.25,1.86524
SQ000185,squid_8,SQ226,NovaSeqX25B,California,NA,2207RL,17,38.35,-123.25,2.4095
SQ000186,squid_8,SQ227,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.69631
SQ000187,squid_8,SQ228,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.02812
SQ000188,squid_8,SQ229,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.53257
SQ000189,squid_8,SQ200,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.0501
SQ000190,squid_8,SQ201,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.26486
SQ000191,squid_8,SQ202,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.47699
SQ000192,squid_8,SQ203,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.34153
SQ000193,squid_8,SQ188,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.45026
SQ000194,squid_8,SQ189,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.79596
SQ000195,squid_8,SQ190,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.69
SQ000196,squid_8,SQ197,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.67001
SQ000197,squid_8,SQ198,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.65212
SQ000198,squid_8,SQ199,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.29055
SQ000199,squid_8,SQ204,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.24034
SQ000200,squid_8,SQ205,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,1.74033
SQ000201,squid_8,SQ191,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.376
SQ000202,squid_8,SQ192,NovaSeqX25B,California,7/31/22,2207RL,19,37.58,-123.18,2.16015
SQ000203,squid_8,SQ193,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,2.43215
SQ000204,squid_8,SQ206,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,1.98642
SQ000205,squid_8,SQ207,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,1.97246
SQ000206,squid_8,SQ208,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,2.55759
SQ000207,squid_8,SQ209,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,1.9397
SQ000208,squid_8,SQ210,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,1.67774
SQ000209,squid_8,SQ211,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,2.37176
SQ000210,squid_8,SQ194,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.30931
SQ000211,squid_8,SQ212,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.02974
SQ000212,squid_8,SQ213,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.40648
SQ000213,squid_8,SQ214,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.09354
SQ000214,squid_8,SQ215,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.40239
SQ000215,squid_8,SQ218,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.24427
SQ000216,squid_8,SQ219,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.22654
SQ000217,squid_8,SQ220,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.87708
SQ000218,squid_8,SQ221,NovaSeqX25B,Alaska,7/9/17,NA,NA,NA,NA,2.49884
SQ000219,squid_8,SQ222,NovaSeqX25B,Alaska,7/9/17,NA,NA,NA,NA,3.621
SQ000220,squid_8,SQ223,NovaSeqX25B,Alaska,7/9/17,NA,NA,NA,NA,2.45047
SQ000221,squid_8,SQ256,NovaSeqX25B,Alaska,7/9/17,NA,NA,NA,NA,3.21914
SQ000222,squid_8,SQ257,NovaSeqX25B,Alaska,7/9/17,NA,NA,NA,NA,3.95753
SQ000223,squid_8,SQ258,NovaSeqX25B,Alaska,7/9/17,NA,NA,NA,NA,3.63063
SQ000224,squid_8,SQ230,NovaSeqX25B,California,NA,2207RL,73,32.96,-118.75,2.67478
SQ000225,squid_8,SQ231,NovaSeqX25B,California,NA,2207RL,73,32.96,-118.75,2.26475
SQ000227,squid_8,SQ233,NovaSeqX25B,California,NA,2207RL,73,32.96,-118.75,2.48469
SQ000228,squid_8,SQ234,NovaSeqX25B,California,NA,2207RL,73,32.96,-118.75,2.63396
SQ000229,squid_8,SQ235,NovaSeqX25B,California,NA,2207RL,73,32.96,-118.75,2.26019
SQ000230,squid_8,SQ236,NovaSeqX25B,California,NA,2207RL,73,32.96,-118.75,2.2736
SQ000231,squid_8,SQ237,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,2.71424
SQ000232,squid_8,SQ238,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,2.75413
SQ000233,squid_8,SQ239,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,3.37933
SQ000234,squid_8,SQ265,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,2.30918
SQ000235,squid_8,SQ240,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,2.60948
SQ000236,squid_8,SQ241,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,2.93168
SQ000237,squid_8,SQ242,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,3.44728
SQ000238,squid_8,SQ243,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,3.2331
SQ000239,squid_8,SQ244,NovaSeqX25B,California,NA,2207RL,55,34.35,-120.12,2.60343
SQ000240,squid_8,SQ245,NovaSeqX25B,California,NA,2207RL,55,34.35,-120.12,2.66015
SQ000241,squid_8,SQ263,NovaSeqX25B,California,NA,2207RL,55,34.35,-120.12,4.01122
SQ000242,squid_8,SQ266,NovaSeqX25B,California,NA,2207RL,55,34.35,-120.12,2.7194
SQ000183,NA,NA,NA,California,NA,2207RL,17,38.35,-123.25,NA
SQ000226,NA,NA,NA,California,NA,2207RL,73,32.96,-118.75,NA
SQ000243,NA,NA,NA,California,NA,2207RL,55,34.35,-120.12,NA
SQ000244,NA,NA,NA,California,NA,2207RL,55,34.35,-120.12,NA
SQ000245,NA,NA,NA,California,NA,2207RL,55,34.35,-120.12,NA
SQ000246,NA,NA,NA,California,NA,2207RL,55,34.35,-120.12,NA
SQ000247,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000248,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000249,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000250,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000251,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000252,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000253,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000254,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
