NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE ,SAMPLE_COMMENTS,NMFS_DNA_ID,SPECIES_CODE,COMMON_NAME,LANDFALL_PORT,CRUISE,HAUL,SITE,STATE_M,COUNTY_M,LATITUDE_M,LONGITUDE_M,LOCATION_COMMENTS_M
SQ000183,SQ002,11G,2207_17_3,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,,,LC,6/16/23,,frozen sample,SQ000183,,market squid,,2207RL,17,,California,,38.35,-123.25,
SQ000226,SQ003,5B,2207RL_73_8,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,,,LC,8/9/23,,frozen sample,SQ000226,,market squid,,2207RL,73,,California,,32.96,-118.75,
SQ000243,SQ003,7C,2207RL_55_9,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,,,LC,8/9/23,,frozen sample,SQ000243,,market squid,,2207RL,55,,California,,34.35,-120.12,
SQ000244,SQ003,7D,2207RL_55_10,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,,,LC,8/9/23,,frozen sample,SQ000244,,market squid,,2207RL,55,,California,,34.35,-120.12,
SQ000245,SQ003,7E,2207RL_55_11,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,,,LC,8/9/23,,frozen sample,SQ000245,,market squid,,2207RL,55,,California,,34.35,-120.12,
SQ000246,SQ003,7F,2207RL_55_12,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,,,LC,8/9/23,,frozen sample,SQ000246,,market squid,,2207RL,55,,California,,34.35,-120.12,
SQ000247,SQ003,7G,2104RL_5_5,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,3/22/21,,LC,8/9/23,,frozen sample,SQ000247,,market squid,,2104RL,5,,California,,33.92,-123.37,
SQ000248,SQ003,7H,2104RL_5_6,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,3/22/21,,LC,8/9/23,,frozen sample,SQ000248,,market squid,,2104RL,5,,California,,33.92,-123.37,
SQ000249,SQ003,8A,2104RL_5_7,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,3/22/21,,LC,8/9/23,,frozen sample,SQ000249,,market squid,,2104RL,5,,California,,33.92,-123.37,
SQ000250,SQ003,8B,2104RL_5_8,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,3/22/21,,LC,8/9/23,,frozen sample,SQ000250,,market squid,,2104RL,5,,California,,33.92,-123.37,
SQ000251,SQ003,8C,2104RL_5_9,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,3/22/21,,LC,8/9/23,,frozen sample,SQ000251,,market squid,,2104RL,5,,California,,33.92,-123.37,
SQ000252,SQ003,8D,2104RL_5_10,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,3/22/21,,LC,8/9/23,,frozen sample,SQ000252,,market squid,,2104RL,5,,California,,33.92,-123.37,
SQ000253,SQ003,8E,2104RL_5_11,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,3/22/21,,LC,8/9/23,,frozen sample,SQ000253,,market squid,,2104RL,5,,California,,33.92,-123.37,
SQ000254,SQ003,8F,2104RL_5_12,5662,CCGP,Doryteuthis,opalescens,,,,,,,,,3/22/21,,LC,8/9/23,,frozen sample,SQ000254,,market squid,,2104RL,5,,California,,33.92,-123.37,